trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.8, 'e': 0.3449999999999994}",20,0,-0.08244141780314407,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.8, 'e': 0.3399999999999994}",25,0,-30.055220248641536,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
133,False,"{'a': 0.8, 'e': 0.3349999999999994}",25,0,-89.78909804804707,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
134,False,"{'a': 0.8, 'e': 0.3299999999999994}",20,16,6.178249198681124,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.8, 'e': 0.3249999999999994}",35,0,17.146656049525266,"{0: 31, 1: 2, 2: 2, 3: 0, 4: 0}",0
136,False,"{'a': 0.8, 'e': 0.3199999999999994}",25,12,17.15714662296032,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.8, 'e': 0.3149999999999994}",25,3,-7.790387678405494,"{0: 20, 1: 0, 2: 0, 3: 2, 4: 0}",1
138,False,"{'a': 0.8, 'e': 0.3099999999999994}",25,0,-19.939431443544095,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
139,False,"{'a': 0.8, 'e': 0.3049999999999994}",20,16,9.578719021528936,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.8, 'e': 0.2999999999999994}",25,13,-66.97416844708958,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 1}",1
141,False,"{'a': 0.8, 'e': 0.2949999999999994}",25,0,-63.69981120427342,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
142,False,"{'a': 0.8, 'e': 0.28999999999999937}",25,0,-26.094689924981992,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
143,False,"{'a': 0.8, 'e': 0.28499999999999936}",20,16,6.7914579228458605,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.8, 'e': 0.27999999999999936}",20,13,-11.246569230771833,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
145,False,"{'a': 0.8, 'e': 0.27499999999999936}",20,0,26.557049678782068,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.8, 'e': 0.26999999999999935}",20,10,-23.11254556331802,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
147,False,"{'a': 0.8, 'e': 0.26499999999999935}",25,9,-12.828009310346514,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
148,False,"{'a': 0.8, 'e': 0.25999999999999934}",25,18,12.428984441483081,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.8, 'e': 0.25499999999999934}",25,0,-12.37029136533258,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
150,False,"{'a': 0.8, 'e': 0.24999999999999933}",25,0,26.472906601213445,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.8, 'e': 0.24499999999999933}",20,8,10.796530250838899,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
