trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.8, 'e': 0.7249999999999998}",25,0,-27.025819075316818,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
56,False,"{'a': 0.8, 'e': 0.7199999999999998}",25,10,-9.523422117498265,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.8, 'e': 0.7149999999999997}",25,6,-24.488909210532103,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
58,False,"{'a': 0.8, 'e': 0.7099999999999997}",20,0,-62.38499945264265,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
59,False,"{'a': 0.8, 'e': 0.7049999999999997}",25,0,-18.806518313007267,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.8, 'e': 0.6999999999999997}",20,0,-62.63109966377899,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
61,False,"{'a': 0.8, 'e': 0.6949999999999997}",25,0,-41.18347618776271,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
62,False,"{'a': 0.8, 'e': 0.6899999999999997}",20,7,-43.28557201695995,"{0: 8, 1: 1, 2: 3, 3: 1, 4: 0}",1
63,False,"{'a': 0.8, 'e': 0.6849999999999997}",20,0,-21.987832737900458,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
64,False,"{'a': 0.8, 'e': 0.6799999999999997}",25,0,-79.28686940225921,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
65,False,"{'a': 0.8, 'e': 0.6749999999999997}",20,6,-87.50499749620613,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
66,False,"{'a': 0.8, 'e': 0.6699999999999997}",25,0,-90.07970064949028,"{0: 16, 1: 1, 2: 6, 3: 2, 4: 0}",0
67,False,"{'a': 0.8, 'e': 0.6649999999999997}",25,0,-65.62320619519222,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
68,False,"{'a': 0.8, 'e': 0.6599999999999997}",20,5,-1.2177958058576346,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.8, 'e': 0.6549999999999997}",25,0,-135.5281235467684,"{0: 16, 1: 3, 2: 2, 3: 2, 4: 2}",0
70,False,"{'a': 0.8, 'e': 0.6499999999999997}",20,8,3.0470489343589158,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
71,False,"{'a': 0.8, 'e': 0.6449999999999997}",20,0,-34.57827375917501,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
72,False,"{'a': 0.8, 'e': 0.6399999999999997}",30,8,-57.76920686296251,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 0}",1
73,False,"{'a': 0.8, 'e': 0.6349999999999997}",20,0,-93.53599451494134,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
74,False,"{'a': 0.8, 'e': 0.6299999999999997}",35,7,-202.9486975937214,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 4}",1
75,False,"{'a': 0.8, 'e': 0.6249999999999997}",25,0,-39.063827135390945,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
76,False,"{'a': 0.8, 'e': 0.6199999999999997}",30,19,-28.461382841384243,"{0: 6, 1: 2, 2: 3, 3: 0, 4: 0}",1
77,False,"{'a': 0.8, 'e': 0.6149999999999997}",30,16,-29.0594389603989,"{0: 8, 1: 3, 2: 3, 3: 0, 4: 0}",1
78,False,"{'a': 0.8, 'e': 0.6099999999999997}",20,0,-52.68787867134062,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
79,False,"{'a': 0.8, 'e': 0.6049999999999996}",25,0,-79.680830513585,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
80,False,"{'a': 0.8, 'e': 0.5999999999999996}",25,0,-177.03970968125452,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
81,False,"{'a': 0.8, 'e': 0.5949999999999996}",25,0,-20.892958249900424,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
82,False,"{'a': 0.8, 'e': 0.5899999999999996}",20,0,-160.43223991819187,"{0: 11, 1: 2, 2: 2, 3: 3, 4: 2}",0
83,False,"{'a': 0.8, 'e': 0.5849999999999996}",20,0,-57.376643270642475,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
84,False,"{'a': 0.8, 'e': 0.5799999999999996}",30,0,-132.6184189609662,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
85,False,"{'a': 0.8, 'e': 0.5749999999999996}",30,0,-69.07944989164355,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.8, 'e': 0.5699999999999996}",25,9,-43.688380164676175,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.8, 'e': 0.5649999999999996}",20,0,13.787246124382637,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.8, 'e': 0.5599999999999996}",20,0,-12.063979173795646,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
89,False,"{'a': 0.8, 'e': 0.5549999999999996}",20,6,-53.433139233936345,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
